,start_page,end_page,guid,pages,ship_name,hull_number,country,base_port,ship_class,ship_type,ship_role,displacement_full_load_tons,length_metres,beam_metres,draught_metres,hull_form,hull_shape,bow_shape,speed_knots,complement_total_personnel,superstructure_layout,distinct_superstructure_blocks_number,funnel_arrangement,funnels_total,funnel_shape,spacing_between_funnels,smokestacks_total,main_machinery,main_gun,main_gun_caliber_inches,main_gun_turrets_total,torpedo_tubes_visible_number,length_to_beam_ratio,approximate_size_category,mast_configuration,freeboard_height,radar_configuration,radar_airsearch,radar_surfacesearch,radar_firecontrol,sonar,gunmounts_position,gunmounts_number,gunmounts_size,missile_launchers,CIWS,CIWS_positions,flight_deck,hangar,hangar_capacity,helicopter_platform,helicopter_capacity,builder,launch_year,commission_year,CIWS_count,CIWS_type
979,546,558,1b9ba894-1af7-4745-b948-a3763d49d142,546-558,Groningen,P 843,Netherlands,,Holland,Offshore Patrol Ship,Offshore Patrol Vessel,3750.0,108.4,16.0,4.7,Monohull,Sleek,Bulbous,22.0,90.0,Stealthy/angular,1,Integrated,0.0,,,0.0,Diesel-electric; 2 MAN 12V28/33D diesels,1 OTO Melara 76 mm,3.0,1.0,,Balanced,"Medium (2,000-6,000 tons)",Integrated,High,Simple arrays (1-2 basic radars),Thales SMART-L; E/F-band,Thales SEASTAR; I-band,,,Forward,1.0,Large (76mm-127mm),,2 Hitrole,Multiple positions,y,,,y,1.0,"Schelde, Vlissingen / Damen Shipyard, Galati",2008.0,2011.0,2,Hitrole
980,546,558,fd7e7931-9d8f-42cb-9ee6-7f3093f51c97,546-558,L 9525-L 9529,L 9525,Netherlands,,LCU Mk IX,Landing Craft Utility,Landing Craft,260.0,36.1,6.8,1.2,Monohull,Bulky,Bluff,9.0,7.0,Minimal,1,Underwater exhaust,0.0,,,0.0,Diesel-electric; 2 Caterpillar 3412DITA diesel generators; 2 Alconza D400 motors,1 x 12.7 mm MG,0.5,1.0,,Balanced,Very Small (<500 tons),nan,Low,Simple arrays (1-2 basic radars),,I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,"Visser Dockyard, Den Helder",,1998.0,,
980,546,558,fd7e7931-9d8f-42cb-9ee6-7f3093f51c97,546-558,L 9525-L 9529, L 9526,Netherlands,,LCU Mk IX,Landing Craft Utility,Landing Craft,260.0,36.1,6.8,1.2,Monohull,Bulky,Bluff,9.0,7.0,Minimal,1,Underwater exhaust,0.0,,,0.0,Diesel-electric; 2 Caterpillar 3412DITA diesel generators; 2 Alconza D400 motors,1 x 12.7 mm MG,0.5,1.0,,Balanced,Very Small (<500 tons),nan,Low,Simple arrays (1-2 basic radars),,I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,"Visser Dockyard, Den Helder",,1998.0,,
980,546,558,fd7e7931-9d8f-42cb-9ee6-7f3093f51c97,546-558,L 9525-L 9529, L 9527,Netherlands,,LCU Mk IX,Landing Craft Utility,Landing Craft,260.0,36.1,6.8,1.2,Monohull,Bulky,Bluff,9.0,7.0,Minimal,1,Underwater exhaust,0.0,,,0.0,Diesel-electric; 2 Caterpillar 3412DITA diesel generators; 2 Alconza D400 motors,1 x 12.7 mm MG,0.5,1.0,,Balanced,Very Small (<500 tons),nan,Low,Simple arrays (1-2 basic radars),,I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,"Visser Dockyard, Den Helder",,1998.0,,
980,546,558,fd7e7931-9d8f-42cb-9ee6-7f3093f51c97,546-558,L 9525-L 9529, L 9528,Netherlands,,LCU Mk IX,Landing Craft Utility,Landing Craft,260.0,36.1,6.8,1.2,Monohull,Bulky,Bluff,9.0,7.0,Minimal,1,Underwater exhaust,0.0,,,0.0,Diesel-electric; 2 Caterpillar 3412DITA diesel generators; 2 Alconza D400 motors,1 x 12.7 mm MG,0.5,1.0,,Balanced,Very Small (<500 tons),nan,Low,Simple arrays (1-2 basic radars),,I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,"Visser Dockyard, Den Helder",,1998.0,,
980,546,558,fd7e7931-9d8f-42cb-9ee6-7f3093f51c97,546-558,L 9525-L 9529, L 9529,Netherlands,,LCU Mk IX,Landing Craft Utility,Landing Craft,260.0,36.1,6.8,1.2,Monohull,Bulky,Bluff,9.0,7.0,Minimal,1,Underwater exhaust,0.0,,,0.0,Diesel-electric; 2 Caterpillar 3412DITA diesel generators; 2 Alconza D400 motors,1 x 12.7 mm MG,0.5,1.0,,Balanced,Very Small (<500 tons),nan,Low,Simple arrays (1-2 basic radars),,I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,"Visser Dockyard, Den Helder",,1998.0,,
981,546,558,36cc784b-6abc-4b8f-b11c-1288a9449154,546-558,L 9536-L 9541,L 9536,Netherlands,,LCVP Mk III,Landing Craft Vehicle Personnel,Landing Craft,30.0,16.9,4.8,1.1,Monohull,Bulky,Bluff,16.5,3.0,Minimal,1,Underwater exhaust,0.0,,,0.0,2 diesels,1 x 7.62 mm MG,0.3,1.0,,Long and narrow,Very Small (<500 tons),nan,Very Low,Simple arrays (1-2 basic radars),,Racal Decca 110; I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1989.0,1990.0,,
981,546,558,36cc784b-6abc-4b8f-b11c-1288a9449154,546-558,L 9536-L 9541, L 9537,Netherlands,,LCVP Mk III,Landing Craft Vehicle Personnel,Landing Craft,30.0,16.9,4.8,1.1,Monohull,Bulky,Bluff,16.5,3.0,Minimal,1,Underwater exhaust,0.0,,,0.0,2 diesels,1 x 7.62 mm MG,0.3,1.0,,Long and narrow,Very Small (<500 tons),nan,Very Low,Simple arrays (1-2 basic radars),,Racal Decca 110; I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1989.0,1990.0,,
981,546,558,36cc784b-6abc-4b8f-b11c-1288a9449154,546-558,L 9536-L 9541, L 9538,Netherlands,,LCVP Mk III,Landing Craft Vehicle Personnel,Landing Craft,30.0,16.9,4.8,1.1,Monohull,Bulky,Bluff,16.5,3.0,Minimal,1,Underwater exhaust,0.0,,,0.0,2 diesels,1 x 7.62 mm MG,0.3,1.0,,Long and narrow,Very Small (<500 tons),nan,Very Low,Simple arrays (1-2 basic radars),,Racal Decca 110; I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1989.0,1990.0,,
981,546,558,36cc784b-6abc-4b8f-b11c-1288a9449154,546-558,L 9536-L 9541, L 9539,Netherlands,,LCVP Mk III,Landing Craft Vehicle Personnel,Landing Craft,30.0,16.9,4.8,1.1,Monohull,Bulky,Bluff,16.5,3.0,Minimal,1,Underwater exhaust,0.0,,,0.0,2 diesels,1 x 7.62 mm MG,0.3,1.0,,Long and narrow,Very Small (<500 tons),nan,Very Low,Simple arrays (1-2 basic radars),,Racal Decca 110; I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1989.0,1990.0,,
981,546,558,36cc784b-6abc-4b8f-b11c-1288a9449154,546-558,L 9536-L 9541, L 9540,Netherlands,,LCVP Mk III,Landing Craft Vehicle Personnel,Landing Craft,30.0,16.9,4.8,1.1,Monohull,Bulky,Bluff,16.5,3.0,Minimal,1,Underwater exhaust,0.0,,,0.0,2 diesels,1 x 7.62 mm MG,0.3,1.0,,Long and narrow,Very Small (<500 tons),nan,Very Low,Simple arrays (1-2 basic radars),,Racal Decca 110; I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1989.0,1990.0,,
981,546,558,36cc784b-6abc-4b8f-b11c-1288a9449154,546-558,L 9536-L 9541, L 9541,Netherlands,,LCVP Mk III,Landing Craft Vehicle Personnel,Landing Craft,30.0,16.9,4.8,1.1,Monohull,Bulky,Bluff,16.5,3.0,Minimal,1,Underwater exhaust,0.0,,,0.0,2 diesels,1 x 7.62 mm MG,0.3,1.0,,Long and narrow,Very Small (<500 tons),nan,Very Low,Simple arrays (1-2 basic radars),,Racal Decca 110; I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1989.0,1990.0,,
982,546,558,76daa743-5cd6-4664-bf20-ae0a28bdb878,546-558,Rotterdam,L 800,Netherlands,,Rotterdam,Landing Platform Dock,Landing Platform Dock,12750.0,166.0,25.0,5.9,Monohull,Flat-decked,Bulbous,19.0,173.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,Diesel-electric; 4 Stork-Wärtsilä 12SW28 diesel generators; 2 Holec motors,2 Signaal Goalkeeper 30 mm,1.18,2.0,,Balanced,"Large (6,000-12,000 tons)",Two,Very High,Simple arrays (1-2 basic radars),Signaal DA08; E/F-band,Signaal Scout/Kelvin Hughes ARPA; I-band,,,Multiple positions,2.0,Small (<30mm - CIWS small caliber),,2 Goalkeeper,Amidships,y,y,,y,6.0,"Royal Schelde, Vlissingen",1997.0,1998.0,2,Goalkeeper
983,546,558,3d0d2ec5-ee4b-482a-a914-5c0f78058d72,546-558,Johan de Witt,L 801,Netherlands,,Johan de Witt,Landing Platform Dock,Landing Platform Dock,16890.0,176.0,29.0,5.9,Monohull,Flat-decked,Bulbous,19.0,146.0,Split fore/aft,Multiple,Twin side-by-side,2.0,Raked,Close,2.0,Diesel-electric; 4 Wärtsilä 12V26A diesel generators; 2 Schottel SSP 9 pods,2 Signaal Goalkeeper 30 mm,1.18,2.0,,Balanced,"Large (6,000-12,000 tons)",Two,Very High,Simple arrays (1-2 basic radars),Thales VARIANT 2; C/D-band,Thales/Kelvin Hughes ARPA; I-band,,,Multiple positions,2.0,Small (<30mm - CIWS small caliber),,2 Goalkeeper,Amidships,y,y,6.0,y,6.0,"Royal Schelde, Vlissingen",2006.0,2007.0,2,Goalkeeper
984,546,558,1b142549-7adf-4497-9184-a06934f75778,546-558,"Alkmaar, Middelburg, Hellevoetsluis, Scheveningen, Urk, Zierikzee, Vlaardingen, Willemstad",M 850,Netherlands,,Alkmaar (Tripartite),Coastal Minehunter,Minehunter,650.0,51.5,8.9,2.8,Monohull,Sleek,Bulbous,15.0,29.0,Central block,1,Single compact,1.0,Raked,Integrated,1.0,1 Stork-Wärtsilä 4-RUB 215 V12 diesel; electric drive for hunting,1 x 12.7 mm MG,0.5,1.0,,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,Consilium Selesmar MM 836; I-band,,"Thales TSM 2022 Mk III; hull-mounted, Double Eagle Mk III Mod 1; VDS",Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1982.0,1984.0,,
984,546,558,1b142549-7adf-4497-9184-a06934f75778,546-558,"Alkmaar, Middelburg, Hellevoetsluis, Scheveningen, Urk, Zierikzee, Vlaardingen, Willemstad", M 853,Netherlands,,Alkmaar (Tripartite),Coastal Minehunter,Minehunter,650.0,51.5,8.9,2.8,Monohull,Sleek,Bulbous,15.0,29.0,Central block,1,Single compact,1.0,Raked,Integrated,1.0,1 Stork-Wärtsilä 4-RUB 215 V12 diesel; electric drive for hunting,1 x 12.7 mm MG,0.5,1.0,,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,Consilium Selesmar MM 836; I-band,,"Thales TSM 2022 Mk III; hull-mounted, Double Eagle Mk III Mod 1; VDS",Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1982.0,1984.0,,
984,546,558,1b142549-7adf-4497-9184-a06934f75778,546-558,"Alkmaar, Middelburg, Hellevoetsluis, Scheveningen, Urk, Zierikzee, Vlaardingen, Willemstad", M 856,Netherlands,,Alkmaar (Tripartite),Coastal Minehunter,Minehunter,650.0,51.5,8.9,2.8,Monohull,Sleek,Bulbous,15.0,29.0,Central block,1,Single compact,1.0,Raked,Integrated,1.0,1 Stork-Wärtsilä 4-RUB 215 V12 diesel; electric drive for hunting,1 x 12.7 mm MG,0.5,1.0,,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,Consilium Selesmar MM 836; I-band,,"Thales TSM 2022 Mk III; hull-mounted, Double Eagle Mk III Mod 1; VDS",Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1982.0,1984.0,,
984,546,558,1b142549-7adf-4497-9184-a06934f75778,546-558,"Alkmaar, Middelburg, Hellevoetsluis, Scheveningen, Urk, Zierikzee, Vlaardingen, Willemstad", M 857,Netherlands,,Alkmaar (Tripartite),Coastal Minehunter,Minehunter,650.0,51.5,8.9,2.8,Monohull,Sleek,Bulbous,15.0,29.0,Central block,1,Single compact,1.0,Raked,Integrated,1.0,1 Stork-Wärtsilä 4-RUB 215 V12 diesel; electric drive for hunting,1 x 12.7 mm MG,0.5,1.0,,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,Consilium Selesmar MM 836; I-band,,"Thales TSM 2022 Mk III; hull-mounted, Double Eagle Mk III Mod 1; VDS",Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1982.0,1984.0,,
984,546,558,1b142549-7adf-4497-9184-a06934f75778,546-558,"Alkmaar, Middelburg, Hellevoetsluis, Scheveningen, Urk, Zierikzee, Vlaardingen, Willemstad", M 858,Netherlands,,Alkmaar (Tripartite),Coastal Minehunter,Minehunter,650.0,51.5,8.9,2.8,Monohull,Sleek,Bulbous,15.0,29.0,Central block,1,Single compact,1.0,Raked,Integrated,1.0,1 Stork-Wärtsilä 4-RUB 215 V12 diesel; electric drive for hunting,1 x 12.7 mm MG,0.5,1.0,,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,Consilium Selesmar MM 836; I-band,,"Thales TSM 2022 Mk III; hull-mounted, Double Eagle Mk III Mod 1; VDS",Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1982.0,1984.0,,
984,546,558,1b142549-7adf-4497-9184-a06934f75778,546-558,"Alkmaar, Middelburg, Hellevoetsluis, Scheveningen, Urk, Zierikzee, Vlaardingen, Willemstad", M 859,Netherlands,,Alkmaar (Tripartite),Coastal Minehunter,Minehunter,650.0,51.5,8.9,2.8,Monohull,Sleek,Bulbous,15.0,29.0,Central block,1,Single compact,1.0,Raked,Integrated,1.0,1 Stork-Wärtsilä 4-RUB 215 V12 diesel; electric drive for hunting,1 x 12.7 mm MG,0.5,1.0,,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,Consilium Selesmar MM 836; I-band,,"Thales TSM 2022 Mk III; hull-mounted, Double Eagle Mk III Mod 1; VDS",Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1982.0,1984.0,,
984,546,558,1b142549-7adf-4497-9184-a06934f75778,546-558,"Alkmaar, Middelburg, Hellevoetsluis, Scheveningen, Urk, Zierikzee, Vlaardingen, Willemstad", M 860,Netherlands,,Alkmaar (Tripartite),Coastal Minehunter,Minehunter,650.0,51.5,8.9,2.8,Monohull,Sleek,Bulbous,15.0,29.0,Central block,1,Single compact,1.0,Raked,Integrated,1.0,1 Stork-Wärtsilä 4-RUB 215 V12 diesel; electric drive for hunting,1 x 12.7 mm MG,0.5,1.0,,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,Consilium Selesmar MM 836; I-band,,"Thales TSM 2022 Mk III; hull-mounted, Double Eagle Mk III Mod 1; VDS",Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1982.0,1984.0,,
984,546,558,1b142549-7adf-4497-9184-a06934f75778,546-558,"Alkmaar, Middelburg, Hellevoetsluis, Scheveningen, Urk, Zierikzee, Vlaardingen, Willemstad", M 861,Netherlands,,Alkmaar (Tripartite),Coastal Minehunter,Minehunter,650.0,51.5,8.9,2.8,Monohull,Sleek,Bulbous,15.0,29.0,Central block,1,Single compact,1.0,Raked,Integrated,1.0,1 Stork-Wärtsilä 4-RUB 215 V12 diesel; electric drive for hunting,1 x 12.7 mm MG,0.5,1.0,,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,Consilium Selesmar MM 836; I-band,,"Thales TSM 2022 Mk III; hull-mounted, Double Eagle Mk III Mod 1; VDS",Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1982.0,1984.0,,
984,546,558,1b142549-7adf-4497-9184-a06934f75778,546-558,"Alkmaar, Middelburg, Hellevoetsluis, Scheveningen, Urk, Zierikzee, Vlaardingen, Willemstad", M 862,Netherlands,,Alkmaar (Tripartite),Coastal Minehunter,Minehunter,650.0,51.5,8.9,2.8,Monohull,Sleek,Bulbous,15.0,29.0,Central block,1,Single compact,1.0,Raked,Integrated,1.0,1 Stork-Wärtsilä 4-RUB 215 V12 diesel; electric drive for hunting,1 x 12.7 mm MG,0.5,1.0,,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,Consilium Selesmar MM 836; I-band,,"Thales TSM 2022 Mk III; hull-mounted, Double Eagle Mk III Mod 1; VDS",Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1982.0,1984.0,,
984,546,558,1b142549-7adf-4497-9184-a06934f75778,546-558,"Alkmaar, Middelburg, Hellevoetsluis, Scheveningen, Urk, Zierikzee, Vlaardingen, Willemstad", M 863,Netherlands,,Alkmaar (Tripartite),Coastal Minehunter,Minehunter,650.0,51.5,8.9,2.8,Monohull,Sleek,Bulbous,15.0,29.0,Central block,1,Single compact,1.0,Raked,Integrated,1.0,1 Stork-Wärtsilä 4-RUB 215 V12 diesel; electric drive for hunting,1 x 12.7 mm MG,0.5,1.0,,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,Consilium Selesmar MM 836; I-band,,"Thales TSM 2022 Mk III; hull-mounted, Double Eagle Mk III Mod 1; VDS",Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,van der Giessen-de Noord,1982.0,1984.0,,
985,546,558,d4b7f4b3-e75e-45ee-99b9-c9f3b36a07c7,546-558,Snellius,A 802,Netherlands,,Snellius,Hydrographic Survey Ship,Survey Ship,1875.0,75.0,13.1,4.0,Monohull,Bulky,Bulbous,12.0,28.0,Central block,1,Single compact,1.0,Raked,Integrated,1.0,Diesel-electric; 3 diesel generators; 1 motor,,,0.0,,Long and narrow,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),,EF- and I-band,,Multi and single beam; hull-mounted,,0.0,,,,,,,,,,"Royal Schelde, Vlissingen",2003.0,2003.0,,
986,546,558,d4b7f4b3-e75e-45ee-99b9-c9f3b36a07c7,546-558,Luymes,A 803,Netherlands,,Snellius,Hydrographic Survey Ship,Survey Ship,1875.0,75.0,13.1,4.0,Monohull,Bulky,Bulbous,12.0,28.0,Central block,1,Single compact,1.0,Raked,Integrated,1.0,Diesel-electric; 3 diesel generators; 1 motor,,,0.0,,Long and narrow,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),,EF- and I-band,,Multi and single beam; hull-mounted,,0.0,,,,,,,,,,"Royal Schelde, Vlissingen",2003.0,2003.0,,
987,546,558,8ac532d2-f20d-47ee-bfdd-594f60f8bd49,546-558,Van Knisbergen,A 902,Netherlands,Den Helder,Training Ship,Training Ship,Training,630.0,60.0,10.8,3.3,Monohull,Sleek,Bulbous,16.0,24.0,Central block,1,Underwater exhaust,0.0,,,0.0,2 Caterpillar 3508 B1-TA diesels,,,0.0,,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,Consilium Selesmar; I-band,,,,0.0,,,,,,,,,,Damen Shipyards,1999.0,1999.0,,
988,546,558,74d0e77c-c335-456c-a20e-1a426bb98c78,546-558,Urania,Y 8050,Netherlands,,Sail Training Ship,Survey Ship,Sail Training,75.0,26.8,5.0,2.6,Monohull,Sleek,Clipper,12.0,17.0,Minimal,1,Single compact,1.0,Vertical,Integrated,1.0,1 Caterpillar diesel,,,0.0,,Long and narrow,Very Small (<500 tons),Sailing,Low,None/Minimal,,,,,,0.0,,,,,,,,,,Haarlem,1938.0,1939.0,,
989,546,558,1162a5a5-8d62-4ef6-822c-6048c439c620,546-558,Amsterdam,A 836,Netherlands,,Amsterdam,Replenishment Oiler Helicopter,Fast Combat Support Ship,17040.0,166.0,22.0,8.0,Monohull,Bulky,Bulbous,20.0,180.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Bazán/Burmeister & Wain 16V 40/45 diesels,2 Oerlikon 20 mm,0.79,2.0,,Balanced,"Large (6,000-12,000 tons)",Two,High,Simple arrays (1-2 basic radars),,2 Kelvin Hughes; F-band,Signaal IRSCAD,,Multiple positions,2.0,Small (<30mm - CIWS small caliber),,1 Goalkeeper,Amidships,y,y,3.0,y,3.0,"Merwede, Hardinxveld, and Royal Schelde, Vlissingen",1993.0,1995.0,1,Goalkeeper
990,546,558,941e4ac0-16e5-475b-9f70-3e8571d44ac5,546-558,Mercuur,A 900,Netherlands,,Submarine Support,Submarine Tender / Torpedo Trials Craft,Submarine Support,1400.0,64.8,12.0,4.3,Monohull,Bulky,Bluff,13.0,60.0,Central block,1,Single compact,1.0,Raked,Integrated,1.0,2 Brons 6t 2027 diesels,,,0.0,4.0,Balanced,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,Racal Decca 1226; I-band,,Signaal SQS-01; hull-mounted,,0.0,,,,,,,,,,Koninklijke Maatschappij de Schelde,1986.0,1987.0,,
991,546,558,d70ef637-40d5-4d6c-a82d-6cd18de260d5,546-558,Zuiderkruis,A 832,Netherlands,,Modified Poolster,Replenishment Oiler Helicopter,Fast Combat Support Ship,16800.0,166.0,20.2,8.0,Monohull,Bulky,Bulbous,21.0,156.0,Single continuous,1,Single compact,1.0,Raked,Integrated,1.0,2 Stork-Werkspoor TM410 diesels,1 Signaal Goalkeeper 30 mm,1.18,1.0,,Balanced,"Large (6,000-12,000 tons)",Two,High,Simple arrays (1-2 basic radars),Racal Decca 2459; F-band,2 Racal Decca TM 1226 / Signaal SCOUT; I-band,Signaal IRSCAM,,Multiple positions,6.0,Small (<30mm - CIWS small caliber),,1 Goalkeeper,Amidships,y,,,y,1.0,"Verolme Shipyards, Albisserdam",1974.0,1975.0,1,Goalkeeper
992,546,558,a2800095-a73b-488d-887e-8b0a11b10fb1,546-558,,,Netherlands,,Joint Logistic Support,Hospital Ship,Joint Support Ship,27000.0,205.0,30.0,6.5,Monohull,Flat-decked,Bulbous,18.0,175.0,Split fore/aft,Multiple,Integrated,0.0,,,0.0,Diesel-electric; 2 shafts,2 Thales Goalkeeper 30 mm,1.18,2.0,,Balanced,"Large (6,000-12,000 tons)",Integrated,Very High,Simple arrays (1-2 basic radars),Thales SMART-L; E/F-band,Thales SEASTAR; I-band,,,Multiple positions,4.0,Small (<30mm - CIWS small caliber),,2 Goalkeeper,Multiple positions,y,y,6.0,y,6.0,,,2015.0,2,Goalkeeper
993,546,558,5f6aceab-23dc-4574-b78e-009359e71611,546-558,Pelikan,A 804,Netherlands,Caribbean,Logistic Support Vessel,Transport,Logistic Support,1700.0,65.4,13.3,3.0,Monohull,Bulky,Bluff,14.8,29.0,Central block,1,Underwater exhaust,0.0,,,0.0,2 Caterpillar 3516B TA diesels,4 x 12.7 mm MGs,0.5,4.0,,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,I-band,,,Multiple positions,4.0,Small (<30mm - CIWS small caliber),,,,,,,,,Damen Shipyard,2007.0,2008.0,,
994,546,558,c0976159-d290-4768-9953-26d88e30c65f,546-558,Patria,Y 8790,Netherlands,,Tanker,Transport Oiler,Tanker,681.0,44.4,6.9,2.8,Monohull,Bulky,Bluff,9.0,2.0,Single continuous,1,Single compact,1.0,Vertical,Integrated,1.0,1 Volvo Penta TAMD 122A,,,0.0,,Long and narrow,Very Small (<500 tons),Single foremast,Medium,Simple arrays (1-2 basic radars),,Furuno RHH5-2002R; I-band,,,,0.0,,,,,,,,,,"De Hoop, Schiedam",1987.0,1988.0,,
995,546,558,689c02da-9ed1-4edf-9883-c9850fad4813,546-558,Jaguar,P 810,Netherlands,"Willemstad, Curaçao",Stan Patrol 4100,Patrol Boat,Cutter,205.0,42.8,6.8,2.5,Monohull,Sleek,Axe bow,26.0,16.0,Single continuous,1,Underwater exhaust,0.0,,,0.0,2 Caterpillar 3516B diesels,1 x 12.7 mm MG,0.5,1.0,,Long and narrow,Very Small (<500 tons),Enclosed,Medium,Simple arrays (1-2 basic radars),,Signaal Scout; I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,Damen Shipyards,,1998.0,,
996,546,558,689c02da-9ed1-4edf-9883-c9850fad4813,546-558,Panter,P 811,Netherlands,"Willemstad, Curaçao",Stan Patrol 4100,Patrol Boat,Cutter,205.0,42.8,6.8,2.5,Monohull,Sleek,Axe bow,26.0,16.0,Single continuous,1,Underwater exhaust,0.0,,,0.0,2 Caterpillar 3516B diesels,1 x 12.7 mm MG,0.5,1.0,,Long and narrow,Very Small (<500 tons),Enclosed,Medium,Simple arrays (1-2 basic radars),,Signaal Scout; I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,Damen Shipyards,,1998.0,,
997,546,558,689c02da-9ed1-4edf-9883-c9850fad4813,546-558,Poema,P 812,Netherlands,"Willemstad, Curaçao",Stan Patrol 4100,Patrol Boat,Cutter,205.0,42.8,6.8,2.5,Monohull,Sleek,Axe bow,26.0,16.0,Single continuous,1,Underwater exhaust,0.0,,,0.0,2 Caterpillar 3516B diesels,1 x 12.7 mm MG,0.5,1.0,,Long and narrow,Very Small (<500 tons),Enclosed,Medium,Simple arrays (1-2 basic radars),,Signaal Scout; I-band,,,Amidships,1.0,Small (<30mm - CIWS small caliber),,,,,,,,,Damen Shipyards,,1998.0,,
998,559,562,de273e0c-dae3-4bc2-be01-82690c8fe2eb,559-562,Te Kaha,F 77,New Zealand,,Anzac (MEKO 200),Helicopter Frigate,Frigate,3600.0,118.0,14.8,4.4,Monohull,Sleek,Bulbous,27.0,163.0,Stealthy/angular,1,Integrated,0.0,,,0.0,CODOG; 1 GE LM 2500 gas turbine; 2 MTU 12V 1163 TB83 diesels,1 5 in (127 mm)/54 Mk 45 Mod 2,5.0,1.0,,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Simple arrays (1-2 basic radars),Raytheon SPS-49(V)8; C/D-band,CelsiusTech 9LV 453 TIR; G/H-band,CelsiusTech 9LV 453; I/J-band,Thomson Sintra Spherion B Mod 5; hull-mounted,Forward,1.0,Large (76mm-127mm),"Sea Sparrow SAM, RIM-116 RAM (fitted for)",1 Phalanx,Amidships,y,y,1.0,y,1.0,"Transfield Defence Systems, Williamstown",1996.0,1997.0,1,Phalanx
